All Around The World (La La La)	R3HAB & A Touch Of Class	All Around The World (La La La)	2:27
All Er Nuthin'	VARIOUS ARTISTS	Oklahoma! (2019 Broadway Cast Recording)	3:50
All For Us (from the HBO Original Series Euphoria)	Labrinth & Zendaya	All For Us (from the HBO Original Series Euphoria)	3:13
All Hallow's Eve	VARIOUS ARTISTS	Meet Me In St. Louis (Original Motion Picture Soundtrack)	4:19
All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)	DJ Khaled	All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)	3:50
All I Ever Wanted (With Queen's Reprise)	VARIOUS ARTISTS	The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)	2:51
All I Want for Christmas Is You	Mariah Carey	Merry Christmas	4:01
All I've Ever Known	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	4:03
All I've Ever Known ("In spite of herself...") [Intro]	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	0:40
All In My Head (Flex)	Fifth Harmony	7/27 (Deluxe) [Explicit]	3:30
All Is Found	VARIOUS ARTISTS	Frozen 2 (Original Motion Picture Soundtrack)	2:05
All My Life	Remady & Bonny Lauren	All My Life	2:43
All Night	VARIOUS ARTISTS	P. Advisory, part 1	4:01
All Of This [feat. Robert Smith]	blink-182	blink-182 [Explicit]	4:40
All That Glitters	Earl	Tongue Tied [Explicit]	3:17
All That Really Matters (Stripped Version)	Illenium & Teddy Swims	All That Really Matters (Stripped Version)	3:19
All To Him (Live)	Hillsong Worship	These Same Skies (Live)	7:08
All We Do	Oh Wonder	Oh Wonder	3:34
Almost (Sweet Music)	Hozier	Wasteland, Baby! [Explicit]	3:37
Almost There	VARIOUS ARTISTS	The Princess and the Frog (Original Motion Picture Soundtrack)	2:24
Almost There (From ''The Princess And The Frog'')	VARIOUS ARTISTS	Disney Princess: Fairy Tale Songs	2:24
Alone	Monstercat	Monstercat 027 - Cataclysm	4:33
Alone	Marshmello	Alone	4:33
Always	blink-182	blink-182 [Explicit]	4:11
Amber Jean	Neil Young International Harvesters	A Treasure	3:17
Angels We Have Heard on High	The Piano Guys	A Family Christmas	3:32
Angels We Have Heard On High	Tommee Profitt	The Birth Of A King	3:43
Angry World	Neil Young	Le Noise [+Digital Booklet]	4:12
Animals	Nickelback	All the Right Reasons	3:06
Anita	Armin van Buuren & Timmy Trumpet	Anita	3:00
Another In The Fire (Live)	Hillsong UNITED	People (Live)	6:33
Another Love (Tiësto Remix)	Tom Odell	Another Love (Tiësto Remix)	3:05
Another Sad Love Song	Khalid	American Teen [Explicit]	4:04
Anthem Part Two (Live In Chicago)	blink-182	blink-182 [Explicit]	3:44
Anthony	Nickel Creek	Why Should The Fire Die?	1:55
Any Moment	VARIOUS ARTISTS	Into the Woods (Original Motion Picture Soundtrack)	1:41
Any Moment / Moments in the Woods	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	4:58
Any Way the Wind Blows	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	3:45
Anybody Have a Map?	VARIOUS ARTISTS	Dear Evan Hansen (Original Broadway Cast Recording)	2:26
Anyone's Ghost	The National	High Violet (Expanded Edition) [Explicit]	2:54
Anything Could Happen	Ellie Goulding	Halcyon Days	4:46
Apex Predator	Reneé Rapp & Auli'i Cravalho	Mean Girls (Music From The Motion Picture) [Explicit]	3:08
Applause	Lady Gaga	Applause	3:32
Arabian Nights	VARIOUS ARTISTS	Aladdin (Original Motion Picture Soundtrack)	1:19
Arabian Nights	Alan Menken, Aladdin - Cast & Disney	Aladdin Special Edition	1:19
Are You Ready For The Country?	Neil Young International Harvesters	A Treasure	3:38
Are You Ready for the Country? (2009 Remaster)	Neil Young	Harvest (2009 Remaster)	3:23
Aria	VARIOUS ARTISTS	Beauty and the Beast (Original Motion Picture Soundtrack)	1:02
As I Am [feat. Khalid]	Justin Bieber	Justice [Clean]	2:54
As Long As You're Mine (From "Wicked" Original Broadway Cast Recording/2003)	VARIOUS ARTISTS	Wicked	3:46
Ashes	Stellar	Ashes [Explicit]	2:46
Asthenia	blink-182	blink-182 [Explicit]	4:19
Astronaut In The Ocean	Masked Wolf	Astronomical [Explicit]	2:13
Astronaut In The Ocean	Masked Wolf	Astronaut In The Ocean [Explicit]	2:12
At The End Of The Day	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	4:26
At The End Of The Day	VARIOUS ARTISTS	Les Misérables (Original Broadway Cast Recording)	4:43
At the End of the Day (Live)	Claude-Michel Schönberg & Alain Boublil	Les Misérables Live! (2010 London Cast Recording)	4:58
At Last	Etta James	Love Songs	3:03
At Last	Etta James	At Last!	3:02
Atlas: Two	Sleeping At Last	Atlas: Two	4:20
Atmosphere	TobyMac	Welcome To Diverse City	4:07
Atmosphere (Remix) [feat. dc Talk]	TobyMac	Welcome To Diverse City	4:37
Attention	Charlie Puth	Attention	3:31
August's Rhapsody	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	7:37
Ave Maria	Winchester Cathedral Choir, Andrew Lumsden & Sarah Baldock, organist	Advent in Winchester "O Come Emmanuel"	5:14
Away In A Manger	Tommee Profitt	The Birth Of A King	5:39
Away in a Manger	The Piano Guys	A Family Christmas	3:09
Awesome God	Rich Mullins	Songs	3:03
Bach / Break	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	3:50
Back To Black	Amy Winehouse	Back To Black [Explicit]	4:00
Back To Life (Live)	Bethel Music	Homecoming (Live)	6:35
Back to the Palace (Bonus Track)	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:31
Back To You	Selena Gomez, OneRepublic & YUNGBLUD	13 Reasons Why (Season 2) [Explicit]	3:30
Back To You	Lost Frequencies	All Stand Together	2:37
BACKBONE	Droeloe & Nevve	BACKBONE [Explicit]	3:21
Backseat Driver [feat. Hollyn & Tru]	TobyMac	This Is Not A Test (Deluxe Edition)	3:21
Bad At Love	Halsey	hopeless fountain kingdom (Deluxe Plus) [Clean]	3:01
Bad Blood	Taylor Swift	1989	3:31
Bad Decisions	Ariana Grande	Dangerous Woman [Explicit]	3:46
bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	3:14
Bad Kind of Butterflies	Camila Cabello	Romance [Explicit]	2:49
Bad Memories [feat. Elley Duhé & FAST BOY]	Meduza & James Carter [feat. Elley Duhé & Fast Boy]	Bad Memories	2:29
Bad Things	Machine Gun Kelly	bloom (Deluxe) [Clean]	3:59
La Bamba (Album Version)	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	3:45
Bane	alt-J	The Dream [Explicit]	5:10
Bang Bang	Jessie J	Sweet Talker	3:19
Bang Bang	VARIOUS ARTISTS	Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack)	3:19
Bang Bang	Ariana Grande	My Everything (Deluxe)	3:19
Bang!	AJR	OK ORCHESTRA [Explicit]	2:50
The Banjo Beat, Pt. 1	Ricky Desktop	The Banjo Beat, Pt. 1	1:12
A Bar Song (Tipsy)	Shaboozey	A Bar Song (Tipsy) [Explicit]	2:51
The Bargain	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	3:24
Bari Improv	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	1:35
Bastards	Kesha	Rainbow [Explicit]	3:51
Battle Belongs	Phil Wickham	Battle Belongs	4:47
Battle Scars (with Guy Sebastian)	Lupe Fiasco	Food & Liquor II: The Great American Rap Album, Pt. 1 [Explicit]	4:10
Be A Light [feat. Reba McEntire & Hillary Scott & Chris Tomlin & Keith Urban]	VARIOUS ARTISTS	Discover More Country	2:54
Be My Escape	Relient K	Mmhmm	4:00
Be Okay	Lauren Daigle	Lauren Daigle	3:29
Beautiful	Andrew Lloyd Webber	Love Never Dies	3:32
Beautiful	VARIOUS ARTISTS	Heathers: The Musical (World Premiere Cast Recording) [Explicit]	8:19
Beautiful Mistakes	Maroon 5	JORDI [Explicit]	3:47
Beautiful Things	Gungor	Beautiful Things	5:10
Beautiful Things	Benson Boone	Beautiful Things	3:00
Bed Head	Joey Pecoraro	Deep in a Dream of You	2:16
Beep [feat. will.i.am]	The Pussycat Dolls	PCD	3:49
Before You Go	Lewis Capaldi	Divinely Uninspired To A Hellish Extent (Extended Edition) [Explicit]	3:35
Beggars At The Feast	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	0:29
Beggin'	Chris Lake & Aluna	Beggin'	3:03
Behold a Pale Horse	Stoik [feat. Jah'kota, Plex & Drezus]	Behold a Pale Horse	4:22
Believe For It	CeCe Winans	Believe For It	3:48
Believe For It (Live)	CeCe Winans	Believe For It	8:22
Bella Ciao	Hardwell & Maddix	Bella Ciao	3:23
The Bells Of Notre Dame	VARIOUS ARTISTS	The Hunchback of Notre Dame (Studio Cast Recording)	7:27
The Bells of Notre Dame (From "The Hunchback of Notre Dame"/Soundtrack)	VARIOUS ARTISTS	Disney's Greatest Volume 2	6:25
Belly Dancer	Imanbek & BYOR	Belly Dancer	2:31
bellyache	Billie Eilish	dont smile at me	2:59
Beneath A Moonless Sky	Andrew Lloyd Webber	Love Never Dies	7:33
Benny's Dispatch	In The Heights (Original Cast Recording)	In The Heights	2:15
Best Friend	VARIOUS ARTISTS	NOW That's What I Call Music, Vol. 65 [Clean]	3:02
Best Of Luck	Nickel Creek	Why Should The Fire Die?	3:22
Best of Wives and Best of Women	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	0:47
Better in Color	Lizzo	Cuz I Love You (Deluxe) [Explicit]	2:13
Between Two Lungs	Florence + The Machine	Lungs	4:09
Beyond Me	TobyMac	This Is Not A Test (Deluxe Edition)	3:13
Beyond Me (Phenomenon Remix By Soul Glow Activatur)	TobyMac	This Is Not A Test (Deluxe Edition)	3:47
Beyond the Sea	Bobby Darin	The Ultimate Bobby Darin	2:52
Big Parade	The Lumineers	The Lumineers	5:27
Big Time	Big & Rich	Horse of a Different Color	3:56
Birthday Suit	Cosmo Sheldrake	The Much Much How How and I	1:20
The Bishop	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	1:34
Black Betty	Ram Jam	The Very Best Of Ram Jam	3:57
Black Mambo	Glass Animals	ZABA [Explicit]	4:08
Black Man In A White World	Michael Kiwanuka	Love & Hate	4:19
Black Sheep (Brie Larson Vocal Version / Bonus Track) [feat. Brie Larson]	VARIOUS ARTISTS	Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition)	4:54
Black Wedding (feat. Rob Halford)	In This Moment	Ritual [Explicit]	4:07
Black Widow [feat. Rita Ora]	Iggy Azalea	The New Classic (Deluxe Version) [Clean]	3:29
Blackout	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	3:57
Blah Blah Blah	VARIOUS ARTISTS	Armada 15 Years (Deluxe Edition)	3:04
The Blessing (Live)	Kari Jobe, Cody Carnes & Elevation Worship	The Blessing (Live)	8:34
Blessings	Hollow Coves	Blessings	4:10
Blinding	Florence + The Machine	Lungs	4:40
The Blood	Naomi Raine	Back to Eden Pt. II	7:59
The Blood Reprise	Naomi Raine	Back to Eden Pt. II	15:06
Blow Us All Away	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	2:53
Blown Away	Hillsong UNITED	Are We There Yet?	6:06
blue	Christina Perri	a lighter shade of blue	3:34
Blue	Ed Sheeran	Autumn Variations [Explicit]	2:34
Blue (Flume Remix)	Eiffel 65	Blue (Flume Remix)	2:47
Blue Skies	Ella Fitzgerald	Pure Ella	3:44
Blue Skies (Maya Jane Coles Remix)	VARIOUS ARTISTS	Verve Remixed: The First Ladies	5:37
Blue Skies (Remastered)	Bobby Darin	Great Gentlemen Of Song / Spotlight On Bobby Darin	2:34
Blueberry Faygo	Lil Mosey	Certified Hitmaker [Explicit]	2:42
Body	Russ Millions & Tion Wayne	Body [Explicit]	3:03
bodyache	Purity Ring	another eternity	2:53
Bohemian Like You	The Dandy Warhols	Thirteen Tales From Urban Bohemia	3:32
Bohemian Rhapsody (Remastered 2011)	Queen	A Night At The Opera	5:54
Bones	Imagine Dragons	Bones	2:45
Bones in the Ocean	The Longest Johns	Bones in the Ocean	3:13
Boogie Feet	Kesha	Rainbow [Explicit]	2:53
BOOM	X Ambassadors	BOOM	2:43
BOOM [feat. Gucci Mane]	Tiësto & Sevenn [feat. Gucci Mane]	BOOM [Explicit]	3:00
Boom Crunch (Bonus Track)	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:36
Boots	Kesha	Rainbow [Explicit]	3:03
Booty [feat. Iggy Azalea]	Jennifer Lopez [feat. Iggy Azalea]	Booty	3:29
Booty Swing	Parov Stelar	The Paris Swing Box	3:16
Born For This	The Score	Pressure [Explicit]	3:54
Bottom Of The Deep Blue Sea	MISSIO	Loner [Explicit]	3:51
Bottom of the River	Delta Rae	Carry the Fire	3:22
Bound For Glory	Neil Young International Harvesters	A Treasure	5:57
The Boy Next Door	VARIOUS ARTISTS	Meet Me In St. Louis (Original Motion Picture Soundtrack)	3:28
Boyfriend	Dove Cameron	Boyfriend [Explicit]	2:33
Boys	Lizzo	Cuz I Love You (Deluxe) [Explicit]	2:52
Boys And Girls Like You and Me (Outtake)	VARIOUS ARTISTS	Meet Me In St. Louis (Original Motion Picture Soundtrack)	2:17
Brass Devil	Parov Stelar	Voodoo Sonic (The Album)	3:52
Break Free [feat. Zedd]	Ariana Grande	My Everything (Deluxe)	3:34
Break My Face	AJR	Neotheater [Explicit]	3:46
Break My Heart (arr. string quartet) (Inspired by ‘Bridgerton’)	Music Lab Collective	Break My Heart (arr. string quartet) (Inspired by ‘Bridgerton’)	3:36
Breakin' Dishes	Rihanna	Good Girl Gone Bad: Reloaded	3:20
Breath Of Heaven (Mary's Song)	Amy Grant	Home For Christmas	5:30
Breathe	In The Heights (Original Cast Recording)	In The Heights	4:01
Breathless (Radio Edit)	Cascada	Evacuate The Dancefloor	3:10
Breezeblocks	alt-J	An Awesome Wave	3:47
Brighter Day	Gungor	Beautiful Things	3:57
Bring Him Home	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	3:37
Broken [feat. Amy Lee]	Seether	Disclaimer II [Explicit]	4:18
Broken Arrow (2017 Remaster)	Neil Young	Decade	6:14
Broken Vessels (Amazing Grace) (Live)	Hillsong Worship	No Other Name (Live)	9:28
Brokenness Aside	All Sons & Daughters	Season One	5:52
The Brunch Bunch	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 3 Mixtape)	1:18
Budapest	George Ezra	Did You Hear the Rain?	3:22
Build My Life	Housefires	Housefires III	8:12
Building The Barricade	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	1:43
Bulletproof [feat. XYLØ]	The Score [feat. XYLØ]	Bulletproof	3:10
Buona Sera (Remastered)	Sam Butera & The Witnesses, Keely Smith & Louis Prima	Capitol Collectors Series	3:07
Burn	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	3:45
Burn For You	TobyMac	Welcome To Diverse City	3:49
Burn The House Down	AJR	The Click (Deluxe Edition) [Explicit]	3:32
Burn Slow	Jaira Burns	Burn Slow [Explicit]	3:12
Burned (2017 Remaster)	Neil Young	Decade	2:16
The Business, Pt. II	Tiësto & Ty Dolla $ign	The Business, Pt. II	2:44
By Our Love	VARIOUS ARTISTS	A.D. The Bible Continues: Music Inspired By The Epic NBC Television Event	3:18
Bye Bye Blackbird	Sarah Vaughan	Live In Japan Vol 2	7:41
Cabinet Battle #1	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	3:35
Cabinet Battle #2	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	2:22
Cages	We The Kingdom	Holy Water	3:35
Cake by the Ocean (From "Hotel Transylvania 3")	VARIOUS ARTISTS	Kids Movie Songs 2018	3:40
California [with Big & Rich]	Tim McGraw	Damn Country Music (Deluxe Edition)	3:25
Call It Love	Felix Jaehn & Ray Dalton	Call It Love	2:35
Call Me Out	Gungor	Beautiful Things	3:01
Call Me When You're Sober	Evanescence	The Open Door	3:35
Call You Mine (Lookas Remix)	The Chainsmokers & Bebe Rexha	Call You Mine (Remixes)	3:46
Campaigner	Neil Young	Songs for Judy	3:30
Can't Complain	Nickel Creek	Why Should The Fire Die?	5:34
Can't Find My Way Home	Blind Faith	Blind Faith	3:16
Can't Help Falling In Love	Elvis Presley	Elvis 30 #1 Hits	2:57
Can't Help Falling in Love - Single	Haley Reinhart	Can't Help Falling in Love - Single	2:53
Can't Lose More	Carpetman	Can't Lose More [Explicit]	3:01
Can't You See	The Marshall Tucker Band	The Marshall Tucker Band	6:05
Candy Shop X Element (Remix)	Eduardo Luzquiños	Viral Hits TikTok (Remix)	1:49
Cane Shuga	Glass Animals	How To Be A Human Being [Explicit]	3:16
Cannot Keep You	Gungor	Beautiful Things	4:01
Canvas of Life	Epica	The Quantum Enigma	5:28
Careful My Toe	VARIOUS ARTISTS	Into the Woods (Original Motion Picture Soundtrack)	1:10
carmen	Stromae	Racine Carrée (Standard US Version) [Explicit]	3:09
Carnaval Del Barrio	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	7:26
Carol Of The Bells	Percy Faith	Music Of Christmas Volume II [Clean]	2:14
Carol Of The Bells	The Tabernacle Choir at Temple Square	Joy to the World	2:27
Carol of the Bells	Pentatonix	PTXmas (Deluxe Edition)	3:13
Carol Of The Bells	Lindsey Stirling	Warmer In The Winter	2:46
Carol of the Bells	John Williams	Home Alone (Original Motion Picture Soundtrack) (Anniversary Edition)	1:25
Carol of the Bells (Choral)	Carol of the Bells	Carol of the Bells	1:26
Carol of the Bells / God Rest Ye Merry Gentlemen	The Piano Guys	A Family Christmas	3:21
Carol Of The Bells / Sing We Now Of Christmas	BarlowGirl	Home For Christmas	4:00
Castle	Halsey	BADLANDS (Deluxe) [Explicit]	4:37
CASTLE OF GLASS	Linkin Park	LIVING THINGS	3:25
Castle On A Cloud	VARIOUS ARTISTS	Les Misérables (Original Broadway Cast Recording)	1:40
Castle On A Cloud	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	1:11
Catch Me	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 3 Mixtape)	0:46
Catchafire (Whoopsi-Daisy)	TobyMac	Welcome To Diverse City	3:24
Caught up in the Moment	Big & Rich	Comin' to Your City	3:42
Cavatina	2Cellos	Score	3:43
The Chain (2004 Remaster)	Fleetwood Mac	Rumours	4:29
Chains	Nick Jonas	Nick Jonas (Deluxe) [Explicit]	3:23
Chalk Outlines	Ren & Chinchilla	Chalk Outlines	3:54
Champagne	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	2:43
Champion (Live)	Bethel Music	Revival's In The Air (Live)	8:47
Change	NF	The Search	3:54
Chant	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	6:31
Chant (Reprise)	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	4:01
Chapstick	Coin	Chapstick	3:13
Charlie Boy	The Lumineers	The Lumineers	4:21
Chasing Cars	Snow Patrol	Greatest Hits	4:26
cheers	blackbear [feat. Wiz Khalifa]	cheers	3:21
Cheers (Drink to That)	Walk Off the Earth	Vol. 1	3:05
Chevre Sisters	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 2 Mixtape)	1:44
Chicago	alt-J	The Dream [Explicit]	3:55
Chim Chim Cher-ee (From "Mary Poppins"/Soundtrack Version)	VARIOUS ARTISTS	Mary Poppins	2:46
Chop Suey!	System Of A Down	Toxicity	3:30
Chopin: 12 Études, Op. 10: No. 12 in C Minor "Revolutionary"	Vladimir Ashkenazy & Frédéric Chopin	Chopin: Favourite Piano Works	2:47
Christmas Dinner, Country Style (Remastered 2006)	Bing Crosby	Bing Crosby - Christmas Classics	2:29
Christmas Medley	Jon Schmidt	Jon Schmidt Christmas	5:25
Christmas Morning	The Piano Guys	A Family Christmas	3:58
Christmas Present	Doris Day	The Doris Day Christmas Album	2:51
Christmas Story	Doris Day	Personal Christmas Collection	3:08
The Christmas Waltz	Doris Day	The Doris Day Christmas Album	2:51
Christmas With You	Spencer Day	Christmas With You (feat. The Joel Evans Big Band) - Single	3:38
Church Bells	Carrie Underwood	Storyteller	3:14
Cinderella At The Grave	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	1:13
Cinderella at the Grave	VARIOUS ARTISTS	Into the Woods (Original Motion Picture Soundtrack)	1:40
Cinema Paradiso	2Cellos	Score	3:59
Cinnamon Girl (2009 Remaster)	Neil Young & Crazy Horse	Everybody Knows This Is Nowhere	3:00
Circles	Post Malone	The Diamond Collection (Deluxe) [Explicit]	3:35
CITY OF ANGELS	24kgoldn	DROPPED OUTTA COLLEGE [Explicit]	1:52
City Of Stars	Justin Hurwitz, Justin Paul & Benj Pasek	La La Land (Original Motion Picture Soundtrack)	1:51
City Of Stars (From "La La Land" Soundtrack)	Justin Hurwitz, Justin Paul & Benj Pasek	La La Land (Original Motion Picture Soundtrack)	2:29
Claire de Lune-Claude Debussy	Susie Tallman	Classical Baby	5:46
Classy Girls	The Lumineers	The Lumineers	2:45
Clementine	Neil Young & Crazy Horse	Americana [+video]	5:40
Closer	The Chainsmokers [feat. Halsey]	Closer	4:05
Closer to the Sun	Slightly Stoopid	Closer To The Sun	2:25
CLOUDS	NF	CLOUDS (THE MIXTAPE)	4:03
CLOUDS (Edit)	NF	CLOUDS (THE MIXTAPE)	3:49
The Club	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	5:58
Coastline	Hollow Coves	Wanderlust	3:54
Cocoa Hooves	Glass Animals	ZABA [Explicit]	4:31
Coffee	Sylvan Esso	Sylvan Esso	4:28
Cold (Acoustic)	Flawed Mangoes	Cold (Acoustic)	3:02
Colors	Halsey	BADLANDS (Deluxe) [Explicit]	4:10
Colors	Łaszewo	Colors	3:35
Colors	Black Pumas	Black Pumas	4:06
Colors of the Wind	VARIOUS ARTISTS	Pocahontas	3:34
Come & Get It	Selena Gomez	Stars Dance (Amazon Exclusive)	3:52
Come Alive	VARIOUS ARTISTS	The Greatest Showman (Original Motion Picture Soundtrack)	3:45
Come Alive (Dry Bones)	Lauren Daigle	How Can It Be (Deluxe Edition)	3:55
Come Along	Pentatonix	Come Along	3:00
Come and Get Your Love (Rerecorded)	Redbone	The Best of Redbone	3:28
Come And Play (Masquerade)	VARIOUS ARTISTS	Eurovision Song Contest: The Story of Fire Saga (Music from the Netflix Film)	3:08
Come Away To The Water (feat. Maroon 5 & Rozzi Crane)	VARIOUS ARTISTS	The Hunger Games: Songs From District 12 And Beyond	5:13
Come Home with Me	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	1:47
Come Home with Me (Reprise)	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	1:01
Comin' Home Baby	VARIOUS ARTISTS	Atlantic Top 60: Jazz, Jive and Strut	2:43
Comin' to Your City	Big & Rich	Comin' to Your City	3:27
Coming Back	Mitch King	A Life Under the Sun	5:08
The Concerto	Arcane & League of Legends	Arcane League of Legends (Original Score from Act 2 of the Animated Series)	2:26
Confess	Apashe, LeKtriQue	Confess	5:21
Confident	Demi Lovato	Confident (Deluxe Edition) [Clean]	3:25
The Confrontation	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	1:55
The Conqueror's Waltz	Joshua Kyan Aalampour	The Conqueror's Waltz	1:40
Control	Halsey	BADLANDS (Deluxe) [Explicit]	3:34
The Convent	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	0:52
Conversation	Lounge Lizard Publications Limited	Learn Italian Words	7:15
Cool for the Summer	Demi Lovato	Confident (Deluxe Edition) [Explicit]	3:34
